,,Detector,Descriptor,TTC lidar,TTC camera,,Detector,Descriptor,TTC lidar,TTC camera,,Detector,Descriptor,TTC lidar,TTC camera,,Detector,Descriptor,TTC lidar,TTC camera,,Detector,Descriptor,TTC lidar,TTC camera,,Detector,Descriptor,TTC lidar,TTC camera,,Detector,Descriptor,TTC lidar,TTC camera
Frame,,SHITOMASI,FREAK,,,,HARRIS,FREAK,,,,FAST,BRIEF,,,,BRISK,ORB,,,,ORB,BRIEF,,,,AKAZE,FREAK,,,,SIFT,BRISK,,
1,,,,12.29,15.99,,,,12.29,9.74,,,,12.29,11.79,,,,12.29,13.82,,,,12.29,16.48,,,,12.29,12.77,,,,12.29,13.51
2,,,,13.35,13.03,,,,13.35,-0.51,,,,13.35,11.73,,,,13.35,15.86,,,,13.35,16.96,,,,13.35,13.9,,,,13.35,12.87
3,,,,16.38,10.45,,,,16.38,-80.85,,,,16.38,13.76,,,,16.38,13.13,,,,16.38,30.92,,,,16.38,13.89,,,,16.38,12.61
4,,,,14.07,14.03,,,,14.07,12.12,,,,14.07,12.82,,,,14.07,17.11,,,,14.07,25.21,,,,14.07,13.75,,,,14.07,21.82
5,,,,12.72,12.93,,,,12.72,infinity,,,,12.72,13.44,,,,12.72,21.93,,,,12.72,25.4,,,,12.72,15.03,,,,12.72,17.23
6,,,,13.75,14.95,,,,13.75,15.52,,,,13.75,13.74,,,,13.75,16.26,,,,13.75,18.25,,,,13.75,14.01,,,,13.75,9.24
7,,,,13.73,11.95,,,,13.79,infinity,,,,13.73,13.26,,,,13.73,19.42,,,,13.73,40.02,,,,13.73,15.69,,,,13.73,14.61
8,,,,13.79,12.22,,,,12.05,0.13,,,,13.79,12.38,,,,13.79,14.81,,,,13.79,31.84,,,,13.79,13.76,,,,13.79,12.75
9,,,,12.05,11.23,,,,11.86,10.29,,,,12.08,12.25,,,,12.05,13.03,,,,12.05,188.57,,,,12.05,13.06,,,,12.05,13.86
10,,,,11.86,13.83,,,,11.96,11.09,,,,11.86,12.58,,,,11.86,12.27,,,,11.86,10.85,,,,11.86,11.87,,,,11.86,10.12
11,,,,11.96,11.41,,,,9.88,infinity,,,,11.96,11.75,,,,11.96,12.81,,,,11.96,10.43,,,,11.96,12.15,,,,11.96,10.96
12,,,,9.88,12.92,,,,9.42,13.4,,,,9.88,11.36,,,,9.88,10.61,,,,9.88,16.6,,,,9.88,10.69,,,,9.88,10.58
13,,,,9.42,12.11,,,,9.3,0.5,,,,9.42,12.37,,,,9.42,11.86,,,,9.42,10.79,,,,9.42,10.93,,,,9.42,9.67
14,,,,9.3,11.72,,,,8.32,-12.6,,,,9.3,9.9,,,,9.3,11.07,,,,9.3,8.4,,,,9.3,9.97,,,,9.3,11.05
15,,,,8.32,12.22,,,,8.89,9.06,,,,8.32,11.53,,,,8.32,12.13,,,,8.32,10.52,,,,8.32,9.3,,,,8.32,9.48
16,,,,8.89,11,,,,9.02,9.34,,,,8.89,10.65,,,,8.89,10.48,,,,8.89,13.49,,,,8.89,9.81,,,,8.89,9.64
17,,,,11.02,9.94,,,,11.02,11.7,,,,11.02,10.38,,,,11.02,9.91,,,,11.02,18.76,,,,11.02,9.5,,,,11.02,8.94
18,,,,8.53,10.23,,,,8.5,25.67,,,,8.53,11.08,,,,8.53,10.76,,,,8.5,13.27,,,,8.5,8.91,,,,8.53,9.32
